article,rev_id
Chad Blackman,1239861059
Santia Bradshaw,1225635388
Sonia Browne,1080633319
Michael A. Carrington,1090468579
William Fondleroy Duguid,1149070233
Reginald Farley,1223215475
Adrian Forde,1079840895
Cynthia Y. Forde,1200176178
Ian Gooding-Edghill,1245455194
Damien K. A. Griffith,1123730836
Crystal Haynes,1219669780
Philip St. Hill,1132713774
Kirk Matthew Humphrey,1079886049
Davidson Ishmael,1123554066
Colin Everett Jordan,1090593974
John Andrew King,1191591712
Shantal Munro-Knight,1248634872
Glyne Murray,1218309623
Charles Duncan O'Neal,1236388821
Samuel Jackman Prescod,1227284229
Shanika Roberts-Odle,1126117422
Ryan Straughn,1232133512
Dwight Sutherland,1226875792
Kerrie Symmonds,1226922424
Yury Ambrazevich,1172992483
Aliaksandr Azarau,1249779544
Lyavon Barshchewski,1237691839
Siarhei Cherachen,1177364352
Zmitser Dashkevich,1244903816
Siamion Domash,1245495829
Tsimafei Dranchuk,1115164729
Alaksandar Dubko,1173907794
Gennady Grushevoy,1225610619
Moshe Gutman,1226775102
Uładzimir Hančaryk,1105545058
Tamaš Hryb,1217471500
Anatoĺ Kalinin,1224032323
Voĺha Karač,1234751055
Uładzisłau Kazłouski,1205140753
Tadeusz Kościuszko,1250542933
Ivan Kubrakov,1243510259
Vladimir Kumets,1147914902
Valery Levaneuski,1248009248
Uladzimir Mackievič,1249602665
V. L. Mukha,1144551736
Jan Pazniak,1246821242
Aleksandr Potupa,1235204307
Pyotr Prakapovich,1228551886
Alexander Radkov,1216932338
Symon Rak-Michajłoŭski,1216629323
Vladimir Rusakevich,1236837678
Ihar Rynkevich,1064451133
Valery Sakhashchyk,1241105852
Dominik Semashko,1214790691
Aliaksandr Shakutsin,1246263655
Nikolai Shelyagovich,1206663730
Jan Stankievič,1245626600
Mikola Statkevich,1243221482
Sergei Tikhanovsky,1247883595
Aleksandr Turchin,1245495069
Yury Voskresensky,1173778739
Edward Woyniłłowicz,1244677659
Ivan Yermachenka,1243935880
Manuel Abramowicz,1243531072
Rudy Aernoudt,1241935456
Herman Baltia,1231554975
Jan Béghin,1243748019
Frank Beke,1161024456
Gustave Boël,1233502726
Pol Clovis Boël,1233502703
Antoine Brun,1179322005
Fernand Cocq,1243330963
Émile Coulonvaux,1222825457
Auguste Couvreur,1058540061
Nico Cué,1226437075
Pierre David (mayor),1244830798
Marcel de Baer,1221734112
August De Boodt,1140361651
Norbert De Cuyper,1165947877
Dirk De fauw,1248580125
René De Feyter,1165734903
François-Philippe de Haussy,1233546471
Victor de Laveleye,1173454330
Édouard Descamps,1231555121
José Desmarets,1225811527
Émile van Dievoet,1202217968
Marc Drumaux,1054937431
Jos Dupré,1249790591
Françoise Dupuis,1224617580
Veerle Geerinckx,1246136139
Eugène Goblet d'Alviella,1182389599
Julien Goekint,1149315537
Jean-Pierre Grafé,1112290249
Jacques Grippa,1226329636
Guy Hance,1217126753
Joris Helleputte,1051591828
Lucienne Herman-Michielsens,1235711895
Jules Hiernaux,1194388133
Julius Hoste Jr.,1215066294
Norbert Hougardy,1139979372
Joseph Houssa,1109576011
Vincent Houssiau,1145182533
Pierre Van Humbeeck,1136575793
Dorah Ilunga,1183327367
Pierre Imperiali,1189630357
Jean-François Istasse,1226460856
Milou Jeunehomme,1136573750
Georges Kaeckenbeeck,1212308026
André Kempinaire,1198582609
Ahmet Koç (politician),1243748075
Willy Kuijpers,1105018002
Rachid Madrane,1188233504
Luc Michel,1178923770
Fientje Moerman,1229904524
André Molitor,1190357309
Jean Pede,1179788619
Pierre Emmanuel Félix Chazal,1237243541
Jean-Marie Piret,1140972331
André-Eugène Pirson,1233498632
Marjet Van Puymbroeck,1233204055
Jean Richardot the Younger,1143555621
Gustave Rolin-Jaequemyns,1236873042
Hippolyte Rolin,1029822060
Father Samuel,1249920109
Louis-Joseph Seutin,1233472654
Alfons Siffer,1044386557
Cyrille Tahay,1244463135
Jacques Timmermans,1243748132
Robert Urbain,1073906467
Adolphe Van Glabbeke,1224501115
Gaëtan Van Goidsenhoven,1227001179
Jacques Van Gompel,1136564688
Marcel Van Langenhove (referee),1136613172
Johan Verbeke,1247551813
Yvan Verougstraete,1250351570
Lodewijk Verreycken,1235733819
Louis Waltniel,1058900581
Yves de Wasseige,1175107156
Roger Windels,1185742670
Jacques van Ypersele de Strihou,1162861355
